area,ga_placename
ceantair ghaeltachta,Thiar
ceantair ghaeltachta,Oileán Bhánfhaiche
ceantair ghaeltachta,Oileán Ban
ceantair ghaeltachta,Oileán Chinn Cnoic
ceantair ghaeltachta,An tOileán Rua
ceantair ghaeltachta,An tOileán Dubh
ceantair ghaeltachta,Oileán Uí Eadhna
ceantair ghaeltachta,Oileán Fraoigh
ceantair ghaeltachta,An Uille Ghairbh
ceantair ghaeltachta,Oileán Giob
ceantair ghaeltachta,An tOileán Glas
ceantair ghaeltachta,Oileán na nEach
ceantair ghaeltachta,Oileán na bPortán
ceantair ghaeltachta,Oileán na Searra
ceantair ghaeltachta,Oileán na Faoilinne
ceantair ghaeltachta,Oileán na bhFaoileann
ceantair ghaeltachta,Oileán na Faille Airde
ceantair ghaeltachta,An Charraig Fhada
ceantair ghaeltachta,Oileán na Tine
ceantair ghaeltachta,Inse na Fothrach
ceantair ghaeltachta,Inse an Bháite
ceantair ghaeltachta,An Inse Riabhach
ceantair ghaeltachta,Oileán Chaitlín
ceantair ghaeltachta,Na hInsí Glasa
ceantair ghaeltachta,Carraigeacha Inis na
ceantair ghaeltachta,Bró
ceantair ghaeltachta,Oileán na Leamhan
ceantair ghaeltachta,Droichead na hUíne
ceantair ghaeltachta,An tÁth
ceantair ghaeltachta,Trá na hUíne
ceantair ghaeltachta,Loch na nGrág
ceantair ghaeltachta,Oileáin Eisc Uí
ceantair ghaeltachta,Dhuinn
ceantair ghaeltachta,Cuas an Bhealaigh
ceantair ghaeltachta,Sráid Eoin
ceantair ghaeltachta,Caol an Dúinín
ceantair ghaeltachta,Thiar
ceantair ghaeltachta,Caol an Phréacháin
ceantair ghaeltachta,An Caol Beag
ceantair ghaeltachta,Abhainn na Caolbóige
ceantair ghaeltachta,Droichead an Chaoil
ceantair ghaeltachta,Bhuí
ceantair ghaeltachta,An Caol Buí
ceantair ghaeltachta,Caol Corráin
ceantair ghaeltachta,An Caol Mór
ceantair ghaeltachta,Caol na nAcraí
ceantair ghaeltachta,Tobar Chéitinn
ceantair ghaeltachta,An Chill
ceantair ghaeltachta,Rinn na Cille
ceantair ghaeltachta,Cill Mhaolmhuirne
ceantair ghaeltachta,Oileán Meannáin
ceantair ghaeltachta,An Chill Bheag
ceantair ghaeltachta,Station
ceantair ghaeltachta,An Chill Bhreac
ceantair ghaeltachta,Ground
ceantair ghaeltachta,An Chaolbhraighdeach
ceantair ghaeltachta,Cill na gColmán
ceantair ghaeltachta,Ground
ceantair ghaeltachta,Cill Chúile
ceantair ghaeltachta,Cill Draighneach
ceantair ghaeltachta,Teampall Chill
ceantair ghaeltachta,Dromann
ceantair ghaeltachta,Cill Ura
ceantair ghaeltachta,ruins)
ceantair ghaeltachta,Cill Ghobnait
ceantair ghaeltachta,Station
ceantair ghaeltachta,Cnoc Chill
ceantair ghaeltachta,Chaomhrach
ceantair ghaeltachta,An Chill
ceantair ghaeltachta,An Chill
ceantair ghaeltachta,Droichead na
ceantair ghaeltachta,Cillíneach Léithe
ceantair ghaeltachta,Coill na Cillíneach
ceantair ghaeltachta,Léithe
ceantair ghaeltachta,Cill Fhaoláin
ceantair ghaeltachta,Ground
ceantair ghaeltachta,Séipéal na Cille
ceantair ghaeltachta,Cill Mhic Iarainn
ceantair ghaeltachta,Ground
ceantair ghaeltachta,Teampall na Cille
ceantair ghaeltachta,Droichead na
ceantair ghaeltachta,Dromann
ceantair ghaeltachta,An Chill Mhór
ceantair ghaeltachta,Cill Chuáin
ceantair ghaeltachta,Teampall Chinn Aird
ceantair ghaeltachta,Rinn na bhFaoileann
ceantair ghaeltachta,Droichead Cheann
ceantair ghaeltachta,Eich
ceantair ghaeltachta,Crois Cheann Eich
ceantair ghaeltachta,An Cnaig
ceantair ghaeltachta,Bhearnach
ceantair ghaeltachta,Cnocán Éagóir
ceantair ghaeltachta,Cnoc an Bhotháin
ceantair ghaeltachta,Cnoc Duíléibhe
ceantair ghaeltachta,Eisc an Ghalláin
ceantair ghaeltachta,An Cnoc Maol Beag
ceantair ghaeltachta,An Cnoc Maol Mór
ceantair ghaeltachta,Cnoc na mBristí
ceantair ghaeltachta,Cnoc Osaidh
ceantair ghaeltachta,Cnoc na gCáinte
ceantair ghaeltachta,Cnoc an Chapaill
ceantair ghaeltachta,Cnoc an Chairn
ceantair ghaeltachta,Sceichigh Riabhach
ceantair ghaeltachta,Cnoc an Stoca
ceantair ghaeltachta,tSleabhcáin
ceantair ghaeltachta,An Chill
ceantair ghaeltachta,An Chill
ceantair ghaeltachta,Leaba an Fhir
ceantair ghaeltachta,Mhuimhnigh
ceantair ghaeltachta,Leaba Fhinn
ceantair ghaeltachta,Leaba Dhiarmada
ceantair ghaeltachta,Leaba an Fhámaire
ceantair ghaeltachta,Íochtarach
ceantair ghaeltachta,Cuas na Lice
ceantair ghaeltachta,An Leac Rua
ceantair ghaeltachta,Leac Shiobhán na
ceantair ghaeltachta,nGeimhleach
ceantair ghaeltachta,Oileán na mBan Uaisle
ceantair ghaeltachta,lake E. of Lough
ceantair ghaeltachta,lake E. of Lough
ceantair ghaeltachta,lake E. of Lough
ceantair ghaeltachta,of Lough
ceantair ghaeltachta,Oileán na nUan
ceantair ghaeltachta,Carraig Oileán na
ceantair ghaeltachta,nUan
ceantair ghaeltachta,Ceann an Uain
ceantair ghaeltachta,Oileán na nUan
ceantair ghaeltachta,Caladh Bheiginis
ceantair ghaeltachta,Inneoin Inis na Bró
ceantair ghaeltachta,Leac na gCaorach
ceantair ghaeltachta,Trá na hInse
ceantair ghaeltachta,Leac an Duilisc
ceantair ghaeltachta,An Liathcharraig
ceantair ghaeltachta,Leic Chaoil
ceantair ghaeltachta,Carraig Lomáin
ceantair ghaeltachta,Lomán tSamhnach
ceantair ghaeltachta,An Lios Bán
ceantair ghaeltachta,Theas
ceantair ghaeltachta,An Lios Beag
ceantair ghaeltachta,Thoir
ceantair ghaeltachta,Lios na Bó Brice
ceantair ghaeltachta,Lios Coilichín
ceantair ghaeltachta,Lios Connaidh
ceantair ghaeltachta,Lios Coinín Doinn
ceantair ghaeltachta,An Lios Dubh
ceantair ghaeltachta,Phléamannaigh
ceantair ghaeltachta,An Lios Dubh
ceantair ghaeltachta,Lios Coille
ceantair ghaeltachta,An Lios Garbh
ceantair ghaeltachta,Thoir
ceantair ghaeltachta,Lios Gort an Phúca
ceantair ghaeltachta,Lios Gort Cam
ceantair ghaeltachta,Lios Gort na Rátha
ceantair ghaeltachta,Lios Gort na Ráth
ceantair ghaeltachta,Lios Gort na Trasnaí
ceantair ghaeltachta,Lios an Naoimhín
ceantair ghaeltachta,Theas
ceantair ghaeltachta,Lios Oileán Garbh
ceantair ghaeltachta,Theas
ceantair ghaeltachta,Lios Miongán
ceantair ghaeltachta,An Lios Mór
ceantair ghaeltachta,"Thoir, Cnoc an"
ceantair ghaeltachta,An Lios Mór
ceantair ghaeltachta,Lios na Ceártan
ceantair ghaeltachta,Lios na Daibhche
ceantair ghaeltachta,Lios na Gráige
ceantair ghaeltachta,Lios na hEorna
ceantair ghaeltachta,Thiar
ceantair ghaeltachta,Lios na Páirce Caoile
ceantair ghaeltachta,Lios na bPréachán
ceantair ghaeltachta,Thiar
ceantair ghaeltachta,Lios Ghort na Rátha
ceantair ghaeltachta,Lios na Rátha Airde
ceantair ghaeltachta,Lios na bhFonsaí
ceantair ghaeltachta,Lios Póil
ceantair ghaeltachta,Droichead Lios Póil
ceantair ghaeltachta,Lios Roibeaird
ceantair ghaeltachta,Theas
ceantair ghaeltachta,An Lios Rua
ceantair ghaeltachta,An Lios Rua
ceantair ghaeltachta,Lios an Chluaintín
ceantair ghaeltachta,Lios an Dreannaigh
ceantair ghaeltachta,Liosach Bán
ceantair ghaeltachta,Cillín na Lasrach
ceantair ghaeltachta,Lios an Liagáin
ceantair ghaeltachta,Lios an Phúca
ceantair ghaeltachta,Droichead Lios an
ceantair ghaeltachta,tSonnaigh
ceantair ghaeltachta,Lios an Bhaile
ceantair ghaeltachta,Theas
ceantair ghaeltachta,Lios an Anacail
ceantair ghaeltachta,Lios Tóin an Bhaile
ceantair ghaeltachta,Mhathamhnaigh
ceantair ghaeltachta,Cathair an Lóthair
ceantair ghaeltachta,An Charraig Fhada
ceantair ghaeltachta,Loch an Dúloig
ceantair ghaeltachta,Loch an Dúin
ceantair ghaeltachta,Loch Iarthair
ceantair ghaeltachta,Loch an Phoirt Bhig
ceantair ghaeltachta,Thoir
ceantair ghaeltachta,Loch Neil Phádraig
ceantair ghaeltachta,Loch an Tortáin
ceantair ghaeltachta,Loch an Mhúnáin
ceantair ghaeltachta,Loch Bhearna na
ceantair ghaeltachta,Gaoithe
ceantair ghaeltachta,Loch Broin
ceantair ghaeltachta,Loch Chom Calláin
ceantair ghaeltachta,Loch Chorráin
ceantair ghaeltachta,Loch Chom Cait Con
ceantair ghaeltachta,Loch Tarbh
ceantair ghaeltachta,Coumeenoughter
ceantair ghaeltachta,Loch Croite
ceantair ghaeltachta,Loch Luíoch
ceantair ghaeltachta,Clochbhuaile
ceantair ghaeltachta,Loch an Pheidléara
ceantair ghaeltachta,Loch Doire Fhíonáin
ceantair ghaeltachta,An Loch Dubh
ceantair ghaeltachta,An Loch Dubh
ceantair ghaeltachta,An Loch Dubh
ceantair ghaeltachta,An Loch Íochtarach
ceantair ghaeltachta,An Loch Geal
ceantair ghaeltachta,Loch na hEisce
ceantair ghaeltachta,Loch Chéim an Fhia
ceantair ghaeltachta,Bheannaithe
ceantair ghaeltachta,Loch Meáin
ceantair ghaeltachta,Loch na Lice
ceantair ghaeltachta,Loch na mBreac Dearg
ceantair ghaeltachta,Loch na mBan
ceantair ghaeltachta,Loch na Móna
ceantair ghaeltachta,Loch na Raibe
ceantair ghaeltachta,Loch na Leannán
ceantair ghaeltachta,An Loch Uachtarach
ceantair ghaeltachta,Loch Salach
ceantair ghaeltachta,Cáintíní
ceantair ghaeltachta,Loch Thuairín Mhárta
ceantair ghaeltachta,Mám an Gharráin
ceantair ghaeltachta,Loch an Bharóidigh
ceantair ghaeltachta,Cladach an Lóchair
ceantair ghaeltachta,An Charraig Íseal
ceantair ghaeltachta,An Colainí Íochtarach
ceantair ghaeltachta,An Tír Íochtarach
ceantair ghaeltachta,Liúir
ceantair ghaeltachta,Máthair an Fhiaigh
ceantair ghaeltachta,Thiar
ceantair ghaeltachta,Cuas Mháthair an
ceantair ghaeltachta,Más an Tiompáin
ceantair ghaeltachta,Máthair an tSearraigh
ceantair ghaeltachta,Macha na Bláiche
ceantair ghaeltachta,Cliffs
ceantair ghaeltachta,Meall Corr
ceantair ghaeltachta,Loch Mheall Corr
ceantair ghaeltachta,Droichead Mhálainn
ceantair ghaeltachta,Mám Clasach
ceantair ghaeltachta,Mám na Gaoithe
ceantair ghaeltachta,Moing an tSamhaidh
ceantair ghaeltachta,An Muilcheann Beag
ceantair ghaeltachta,An Muilcheann Mór
ceantair ghaeltachta,Béal Átha
ceantair ghaeltachta,Thuaidh
ceantair ghaeltachta,Droichead Bhaile an
ceantair ghaeltachta,Mhuilinn
ceantair ghaeltachta,Abha Bhaile an
ceantair ghaeltachta,Mhuilinn
ceantair ghaeltachta,Caisleán na Mine
ceantair ghaeltachta,Ceann na Mine Airde
ceantair ghaeltachta,Mionnán Lic Buí
ceantair ghaeltachta,Mionnán an Ghairdín
ceantair ghaeltachta,Mionnán na Toirní
ceantair ghaeltachta,Mionnán an Chuasa
ceantair ghaeltachta,Fhlich
ceantair ghaeltachta,An Mionnán Mór
ceantair ghaeltachta,Móin na Caróige
ceantair ghaeltachta,An Leacht
ceantair ghaeltachta,Gallán an tSagairt
ceantair ghaeltachta,Caisleán an Mhúraigh
ceantair ghaeltachta,Carraig an Phréacháin
ceantair ghaeltachta,Oileán Mhurcha
ceantair ghaeltachta,Binn na Naomh
ceantair ghaeltachta,Mhór
ceantair ghaeltachta,Sliabh an Iolair
ceantair ghaeltachta,Loch Shliabh an Iolair
ceantair ghaeltachta,Maolán
ceantair ghaeltachta,Collach Mhaoláin
ceantair ghaeltachta,Leac Uí
ceantair ghaeltachta,Mhuimhneacháin
ceantair ghaeltachta,Na Muca
ceantair ghaeltachta,Mullach Bog
ceantair ghaeltachta,gCléireach
ceantair ghaeltachta,Abhainn Mhurorgáin
ceantair ghaeltachta,Parlús Neansaí
ceantair ghaeltachta,Cró na Snáthaide
ceantair ghaeltachta,Oileán Chuas an Bháid
ceantair ghaeltachta,Boilgín an Pholla
ceantair ghaeltachta,Oileán an Mhadra
ceantair ghaeltachta,Uisce
ceantair ghaeltachta,An Abha Gharbh
ceantair ghaeltachta,Poll na Slaite
ceantair ghaeltachta,Abhainn an Lóndraigh
ceantair ghaeltachta,An Áth
ceantair ghaeltachta,Abha Charn na Muc
ceantair ghaeltachta,River
ceantair ghaeltachta,An Abha Mhór
ceantair ghaeltachta,Abha na Féinne
ceantair ghaeltachta,An Abha Mhín
ceantair ghaeltachta,Droichead na hAbhann
ceantair ghaeltachta,Rua
ceantair ghaeltachta,An Abha Rua
ceantair ghaeltachta,Fhialáin
ceantair ghaeltachta,Pointe Uí Fhiannachta
ceantair ghaeltachta,Páirc an Dúna
ceantair ghaeltachta,Carraig na Páirce Bige
ceantair ghaeltachta,An Pháirc Mhór
ceantair ghaeltachta,Pointe na Páirce
ceantair ghaeltachta,Páirc na Croise
ceantair ghaeltachta,Domhnaigh
ceantair ghaeltachta,Páirc na Fola
ceantair ghaeltachta,Páirc Philib
ceantair ghaeltachta,Cluain Eachlainn
ceantair ghaeltachta,Duchoill agus Com an
ceantair ghaeltachta,Bheannaithe
ceantair ghaeltachta,Chorrbhuaile
ceantair ghaeltachta,An Leacht
ceantair ghaeltachta,Piaras Mór
ceantair ghaeltachta,Carraig na Muice
ceantair ghaeltachta,Magairlí Muice
ceantair ghaeltachta,Pointe Charraig an
ceantair ghaeltachta,Bhealaigh
ceantair ghaeltachta,Pointe Chuas Oileán
ceantair ghaeltachta,Giob
ceantair ghaeltachta,Pointe an Ghiorria
ceantair ghaeltachta,Pointe Lic an
ceantair ghaeltachta,Teampaill
ceantair ghaeltachta,Pointe na Binne
ceantair ghaeltachta,Cúinne an Mhionnáin
ceantair ghaeltachta,Pointe na Reanna
ceantair ghaeltachta,Pointe na Trá
ceantair ghaeltachta,Pointe Ghob an Imligh
ceantair ghaeltachta,An Scoth
ceantair ghaeltachta,Pointe na bhFaoileann
ceantair ghaeltachta,Púicín an Chairn
ceantair ghaeltachta,Port an Dúin
ceantair ghaeltachta,Béal Ae Móire
ceantair ghaeltachta,Pollaíocha an
ceantair ghaeltachta,Chlasaigh
ceantair ghaeltachta,Cuas an Chlodraigh
ceantair ghaeltachta,Poll an Daimh
ceantair ghaeltachta,Poll an Fhrancaigh
ceantair ghaeltachta,Poll an Tobair
ceantair ghaeltachta,Poll an Reithe
ceantair ghaeltachta,Poll an Bhundúin
ceantair ghaeltachta,Poll Aodha
ceantair ghaeltachta,An Poll Gorm
ceantair ghaeltachta,Poll Uí Bhúgadáin
ceantair ghaeltachta,Thiar
ceantair ghaeltachta,Oileán Dhonncha
ceantair ghaeltachta,Bháin
ceantair ghaeltachta,Poll an Dúna
ceantair ghaeltachta,Poll na gCapall
ceantair ghaeltachta,Poll na gCaorach
ceantair ghaeltachta,Cloichear
ceantair ghaeltachta,Faill an Dréimire
ceantair ghaeltachta,Poll na Caorach
ceantair ghaeltachta,Poll na Sagart
ceantair ghaeltachta,An Póna
ceantair ghaeltachta,An Póna
ceantair ghaeltachta,na Cille
ceantair ghaeltachta,Carraig na gCánóg
ceantair ghaeltachta,Bealach na Nae
ceantair ghaeltachta,Gleann Iarthach
ceantair ghaeltachta,Cé na Reanna
ceantair ghaeltachta,An Fearann Iarthach
ceantair ghaeltachta,Oileán na gCoiníní
ceantair ghaeltachta,Coill na Rátha
ceantair ghaeltachta,Reilig Ráithín Uí
ceantair ghaeltachta,Yard
ceantair ghaeltachta,Caisleán Ráthanáin
ceantair ghaeltachta,Droichead an Bhogha
ceantair ghaeltachta,Trá na Rátha
ceantair ghaeltachta,Ráth an Óir
ceantair ghaeltachta,Cuas na Glasaille
ceantair ghaeltachta,Fheirtéaraigh
ceantair ghaeltachta,Rinn Chuas an Éin
ceantair ghaeltachta,Pointe na Reanna
ceantair ghaeltachta,Rinn an Chaisleáin
ceantair ghaeltachta,Rinn Chonaill
ceantair ghaeltachta,An Rinn Dubh
ceantair ghaeltachta,An Rinn Gaoil
ceantair ghaeltachta,An Plaosc
ceantair ghaeltachta,Oileáin Rinn na Scine
ceantair ghaeltachta,Carraig Rinn na Scine
ceantair ghaeltachta,Rinn na bhFaoileann
ceantair ghaeltachta,Carraig Rinn na
ceantair ghaeltachta,bhFaoileann
ceantair ghaeltachta,Rinn na Báirce
ceantair ghaeltachta,An Raingléis
ceantair ghaeltachta,Cnoc na Réchoille
ceantair ghaeltachta,Pointe na Móna
ceantair ghaeltachta,Pointe Rinnín na Móna
ceantair ghaeltachta,Trá
ceantair ghaeltachta,An Riasc
ceantair ghaeltachta,Abhainn na hUíne
ceantair ghaeltachta,Bun na hAbhann
ceantair ghaeltachta,Garbhoileán
ceantair ghaeltachta,Garbhoileán Beag
ceantair ghaeltachta,Cosán na Naomh
ceantair ghaeltachta,An Duimhich
ceantair ghaeltachta,An Duimhich
ceantair ghaeltachta,Faill an tSáis
ceantair ghaeltachta,An Sás
ceantair ghaeltachta,An Seanduine
ceantair ghaeltachta,An Scóraid
ceantair ghaeltachta,An Scraig
ceantair ghaeltachta,Cnoc na Mara
ceantair ghaeltachta,Cuas na Rón
ceantair ghaeltachta,Stacán an Róin
ceantair ghaeltachta,Na Searra
ceantair ghaeltachta,Pointe Thomáis Uí
ceantair ghaeltachta,Shíocháin
ceantair ghaeltachta,An Searrach
ceantair ghaeltachta,An Trá Bheag
ceantair ghaeltachta,Sláidín
ceantair ghaeltachta,An Teabhar
ceantair ghaeltachta,An Túr
ceantair ghaeltachta,Teabhar an Bhaile
ceantair ghaeltachta,Uachtaraigh
ceantair ghaeltachta,Carraig an Choiscéim
ceantair ghaeltachta,Ceann Sléibhe
ceantair ghaeltachta,Sliabh Mhacha Ré
ceantair ghaeltachta,An Mullach Ramhar
ceantair ghaeltachta,An Sliabh Glas
ceantair ghaeltachta,Slí na gCor
ceantair ghaeltachta,An Starraicín
ceantair ghaeltachta,Na Sligiríní
ceantair ghaeltachta,An Fiacailín
ceantair ghaeltachta,Cuan Ard na Caithne
ceantair ghaeltachta,an Chapaill
ceantair ghaeltachta,An Laoch
ceantair ghaeltachta,Bóthar an Spá
ceantair ghaeltachta,An Spá
ceantair ghaeltachta,Teampall Bréanainn
ceantair ghaeltachta,Séipéilín Bréanainn
ceantair ghaeltachta,Fhaiche
ceantair ghaeltachta,Tobar Bréanainn
ceantair ghaeltachta,Tobar Bréanainn
ceantair ghaeltachta,Tobar Bréanainn
ceantair ghaeltachta,Tobar Bréanainn
ceantair ghaeltachta,Tobar Bhréanainn
ceantair ghaeltachta,Tobar Buaine
ceantair ghaeltachta,ruins)
ceantair ghaeltachta,Tobar Fíonáin
ceantair ghaeltachta,Bhearnach
ceantair ghaeltachta,Bá Fhíonáin
ceantair ghaeltachta,Tobar Fíonáin
ceantair ghaeltachta,Tobar Eoin Baiste
ceantair ghaeltachta,Tobar Eoin
ceantair ghaeltachta,Ráth Ciaráin
ceantair ghaeltachta,Uaigh Mhancháin
ceantair ghaeltachta,An Teampall Liath
ceantair ghaeltachta,Tobar Michíl
ceantair ghaeltachta,Tobar Michíl
ceantair ghaeltachta,Tobar Niocláis
ceantair ghaeltachta,Carraig an Choiscéim
ceantair ghaeltachta,Cros Naomh Gobnait
ceantair ghaeltachta,Fheirtéaraigh
ceantair ghaeltachta,Leac na bPian
ceantair ghaeltachta,Carraig Stuaicín
ceantair ghaeltachta,An Fochloch
ceantair ghaeltachta,"Ceannúigh, Buaile Uí"
ceantair ghaeltachta,marked ‘Liable to
ceantair ghaeltachta,An Chorr
ceantair ghaeltachta,Ceann Sibéal
ceantair ghaeltachta,Thoir
ceantair ghaeltachta,Gob Chorráin an
ceantair ghaeltachta,Fhiaigh
ceantair ghaeltachta,Cabhlach
ceantair ghaeltachta,Na Tiarachtaí Beaga
ceantair ghaeltachta,Na Tiarachtaí Beaga
ceantair ghaeltachta,Thiar
ceantair ghaeltachta,An Droichead Mór
ceantair ghaeltachta,Tír
ceantair ghaeltachta,An Teampall Beag
ceantair ghaeltachta,An Teampall Beag
ceantair ghaeltachta,Teampall an Chaisil
ceantair ghaeltachta,Teampall Mancháin
ceantair ghaeltachta,Teampall na Cluanach
ceantair ghaeltachta,Teampall na Feannaide
ceantair ghaeltachta,ruins)
ceantair ghaeltachta,An Bhas
ceantair ghaeltachta,An Chois
ceantair ghaeltachta,An Chín
ceantair ghaeltachta,Bior na Sceilge
ceantair ghaeltachta,An Triúr Deirféar
ceantair ghaeltachta,An Duimhich
ceantair ghaeltachta,An Tuí
ceantair ghaeltachta,Stacán na bhFiach
ceantair ghaeltachta,Cloch an Ghadaí
ceantair ghaeltachta,Poll na Toirní
ceantair ghaeltachta,An Toirneach
ceantair ghaeltachta,An Tigh Dubh
ceantair ghaeltachta,An tInneall
ceantair ghaeltachta,Tigh Mhóire
ceantair ghaeltachta,Tobar Mhéaraí
ceantair ghaeltachta,Tobar an Choimín
ceantair ghaeltachta,Tobar an Draghbháil
ceantair ghaeltachta,Tobar an Ghiolla
ceantair ghaeltachta,Dhuibh
ceantair ghaeltachta,Tobar an Ghrá
ceantair ghaeltachta,Tobar an Chapaill
ceantair ghaeltachta,Tobar an Fhearainn
ceantair ghaeltachta,Tobar an Chapaill
ceantair ghaeltachta,Tobar an Chómair
ceantair ghaeltachta,Tobar an Rúin
ceantair ghaeltachta,Tobar Faoláin
ceantair ghaeltachta,Tobar Fíonáin
ceantair ghaeltachta,Tobar Aon Fhirt
ceantair ghaeltachta,Tobar Chiaráin
ceantair ghaeltachta,Tobar Chiaráin
ceantair ghaeltachta,Tobar Mancháin
ceantair ghaeltachta,Tobar Mártain
ceantair ghaeltachta,Tobar Michíl
ceantair ghaeltachta,Tobar Mealaicí
ceantair ghaeltachta,Tobar Molaige
ceantair ghaeltachta,Tobar Muire
ceantair ghaeltachta,Tobar Mhuircheartaigh
ceantair ghaeltachta,Tobar na Croise
ceantair ghaeltachta,Tobar na Daibhche
ceantair ghaeltachta,Tobar na gCeann
ceantair ghaeltachta,Tobar na gCiaróg
ceantair ghaeltachta,Fheirtéaraigh
ceantair ghaeltachta,Tobar Glé
ceantair ghaeltachta,Tobar na gCeann
ceantair ghaeltachta,Tobar na gCopóg
ceantair ghaeltachta,Tobar na Plá
ceantair ghaeltachta,Tobar na Súl
ceantair ghaeltachta,Tobar na Stéilleach
ceantair ghaeltachta,Tobar Núnáin
ceantair ghaeltachta,Theas
ceantair ghaeltachta,Tobar Eoin
ceantair ghaeltachta,Tobar Rí an
ceantair ghaeltachta,Domhnaigh
ceantair ghaeltachta,An Tobar Te
ceantair ghaeltachta,Tobar Cathrach na
ceantair ghaeltachta,Coille
ceantair ghaeltachta,Tobar Uí Fhloinn
ceantair ghaeltachta,Cuas na nGabhar
ceantair ghaeltachta,An Tóin Bhán
ceantair ghaeltachta,Loch an Tuairín Bhoig
ceantair ghaeltachta,Droichead Thuar Sáilín
ceantair ghaeltachta,An Trá Bháin
ceantair ghaeltachta,An Trá Bhán
ceantair ghaeltachta,Trá Chloichir
ceantair ghaeltachta,Trá na Binne Báine
ceantair ghaeltachta,Béal Trá Bige
ceantair ghaeltachta,Trá Chathail
ceantair ghaeltachta,Trá Thearmainn
ceantair ghaeltachta,Trá an Lóthair
ceantair ghaeltachta,Trá na gCaorach
ceantair ghaeltachta,Trá na Sasanach
ceantair ghaeltachta,Léim an Treantaigh
ceantair ghaeltachta,Oileán na Daibhche
ceantair ghaeltachta,Mór
ceantair ghaeltachta,Oileán na Daibhche
ceantair ghaeltachta,Beag
ceantair ghaeltachta,Cuaisín Thiobraid
ceantair ghaeltachta,Muileann Úctha
ceantair ghaeltachta,Droichead na Tulaí
ceantair ghaeltachta,Turas Fhlainn
ceantair ghaeltachta,Coill na Turaite
ceantair ghaeltachta,Oileán Dá Cheann
ceantair ghaeltachta,Ulaidh an Draghbháil
ceantair ghaeltachta,An Colainí
ceantair ghaeltachta,Uachtarach
ceantair ghaeltachta,An Tír Uachtarach
ceantair ghaeltachta,Yard)
ceantair ghaeltachta,Cuan Fionntrá
ceantair ghaeltachta,Trá Fionntrá
ceantair ghaeltachta,Na Mná
ceantair ghaeltachta,Sconna na Scóraide
ceantair ghaeltachta,Dubh
ceantair ghaeltachta,Sconna Mhatha
ceantair ghaeltachta,Comáin
ceantair ghaeltachta,Bun na hAbhann
ceantair ghaeltachta,Rialaigh
ceantair ghaeltachta,An Sruth Bán
ceantair ghaeltachta,Carraig Bháitéir
ceantair ghaeltachta,Tobar Bréanainn
ceantair ghaeltachta,Droichead an Phóna
ceantair ghaeltachta,Bháin
ceantair ghaeltachta,Oileán na bhFraochán
ceantair ghaeltachta,Tobairín Liam Scot
ceantair ghaeltachta,Bearna na Gaoithe
ceantair ghaeltachta,Bearna Gaoithe
ceantair ghaeltachta,Trá an Fhíona
ceantair ghaeltachta,Coiscéim an Mhadra
ceantair ghaeltachta,Alla
ceantair ghaeltachta,An Cuas Buí
ceantair ghaeltachta,An Chrois Bhuí
ceantair ghaeltachta,Sruthán Áth na
ceantair ghaeltachta,Pointe Ard an tSrutha
ceantair ghaeltachta,An Abha Bhuí
ceantair ghaeltachta,Droichead Bhéal Átha
ceantair ghaeltachta,Fionnáin
ceantair ghaeltachta,Abha Bharr Duínse
ceantair ghaeltachta,Sruthán Bhéal Átha
ceantair ghaeltachta,Pháidín
ceantair ghaeltachta,Ballán na nDeargán
ceantair ghaeltachta,Droichead na
ceantair ghaeltachta,Biochaille
ceantair ghaeltachta,Abha na Biochaille
ceantair ghaeltachta,An Ballán Mór
ceantair ghaeltachta,An Bhoilgín
ceantair ghaeltachta,Abha Bhun Sílinn
ceantair ghaeltachta,Ceann Róin
ceantair ghaeltachta,Ceann Cléire
ceantair ghaeltachta,Carraig an Choiscéim
ceantair ghaeltachta,An Charraig Fhada
ceantair ghaeltachta,Carraig an Locha
ceantair ghaeltachta,Carraig an Chláir
ceantair ghaeltachta,Carraig Liúir
ceantair ghaeltachta,An Charraig Iarthach
ceantair ghaeltachta,An Charraig Mhór
ceantair ghaeltachta,Carraig na Seagaí
ceantair ghaeltachta,Carraig na Spioróige
ceantair ghaeltachta,Carraig Rátha Duibhe
ceantair ghaeltachta,Carraig Uí Laoghaire
ceantair ghaeltachta,Cloch Fhinn
ceantair ghaeltachta,Droichead Colthurst
ceantair ghaeltachta,Droichead an Choimín
ceantair ghaeltachta,Coill an Choma
ceantair ghaeltachta,Com na nÉag
ceantair ghaeltachta,Cuas an Chapaill
ceantair ghaeltachta,Cuas an Dúna
ceantair ghaeltachta,Cuas an Dúglais
ceantair ghaeltachta,Cuas an Ghallúnaigh
ceantair ghaeltachta,Cuas an Ghleanna
ceantair ghaeltachta,Iarthaigh
ceantair ghaeltachta,Cuas an Éisc
ceantair ghaeltachta,Cuas an Uisce
ceantair ghaeltachta,Cuas an Eoin
ceantair ghaeltachta,Cuas an Bháid
ceantair ghaeltachta,Cuas an Ghasláigh
ceantair ghaeltachta,Cuas Fhaill an
ceantair ghaeltachta,Sciatháin
ceantair ghaeltachta,An Cuas Leathan
ceantair ghaeltachta,Pointe an Chuais
ceantair ghaeltachta,Leathain
ceantair ghaeltachta,Cuas na gCánóg
ceantair ghaeltachta,Cuas na Ré
ceantair ghaeltachta,An Coimín Buí
ceantair ghaeltachta,Coimín Taidhg
