placename,sentence,model
An Ros,Tá daoine ag spaisteoireacht ar feadh na trá i mBaile an Róis gach deireadh seachtaine.,claude-3-haiku-20240307
Ros Dubh,Tabharfar cuairt ar sheanfhearann ag Ros Dubh an mhí seo chugainn.,claude-3-haiku-20240307
Ros Cam,Tá turasóirí ag tabhairt cuairt ar Ros Cam gach samhradh.,claude-3-haiku-20240307
Ros an Locha,Bíonn drámaí á léiriú ag muintir Ros an Locha i rith an tsamhraidh.,claude-3-haiku-20240307
Ros na gCon,Casann siad le chéile i Ros na gCon gach seachtain.,claude-3-haiku-20240307
An Charraig Gharbh,Tá an baile ag fás go tapaidh in An Charraig Gharbh le blianta beaga anuas.,claude-3-haiku-20240307
An Charraig Chruinn,Tá imeachtaí spóirt á n-eagrú go rialta i gCaisleán Aircín.,claude-3-haiku-20240307
Garbhcharraig,Bíonn raon leathan de chineálacha éisc i nGarbhcharraig le linn na bliana.,claude-3-haiku-20240307
Carraigeacha Roisín an,Tá dúil mhór ag na turasóirí i gCeann Charra na Roisín.,claude-3-haiku-20240307
Loch Chnocán na Mná,Bíonn na turasóirí ag siúl timpeall Loch Chnocán na Mná gach samhradh.,claude-3-haiku-20240307
Oileán an Rois,Beidh cóisir mhór ar siúl ar Oileán an Rois an deireadh seachtaine seo.,claude-3-haiku-20240307
An Roisín,Téann daoine ag snámh i Loch An Roisín gach samhradh.,claude-3-haiku-20240307
Cora Roisín na,Déanann iarracht na pobail áitiúla chun an oidhreacht chultúrtha a chur chun cinn i gCora Roisín na.,claude-3-haiku-20240307
Carraigeacha Roisín na,Beidh rith mara bliantúil ar siúl ar Charraigreacha Roisín na Míl amach anseo.,claude-3-haiku-20240307
Páircín,Oireann timpeallacht Pháircín go maith do chónaí.,claude-3-haiku-20240307
Mairbhe,Tá an ceol traidisiúnta Gaelach an-cháiliúil i Mairbhe.,claude-3-haiku-20240307
An Sáilín,Déanann daoine turais thairbheacha go hAn Sáilín ar feadh na bliana.,claude-3-haiku-20240307
Carraig an tSeagail,Chuaigh mé go Carraig an tSeagail le déanaí le blaiseadh den bia áitiúil.,claude-3-haiku-20240307
Sáile Lao,Bíonn muintir na háite ag díol torthaí agus glasraí ó Shráid Sháile Lao gach Satharn.,claude-3-haiku-20240307
Cora Sháile Chuanna,Bíonn an margadh bliantúil ar siúl i gCora Sháile Chuanna gach Lá Fhéile Pádraig.,claude-3-haiku-20240307
Oileán na Sailí,Bíonn gach sórt eachtraí spóirt ar siúl in Oileán na Sailí le linn an tsamhraidh.,claude-3-haiku-20240307
Oileán na Sailí,Bíonn turais bhádóireachta eagraithe ar Oileán na Sailí le linn an tsamhraidh.,claude-3-haiku-20240307
Carraig na Sailiú,Tá cuid mhór daoine ó gach cearn den tír ag cur isteach ar phoist sa Charraig na Sailiú anois.,claude-3-haiku-20240307
Cora Sáile Chuanna,Beidh feirm orgánach nua ag oscailt i gCora Sáile Chuanna an samhradh seo chugainn.,claude-3-haiku-20240307
Sáile Chuanna,Tá muintir Sáile Chuanna ag ullmhú do mhór-imeacht cultúrtha an tsamhraidh seo.,claude-3-haiku-20240307
Loch Ceann Gainimh,Beidh feachtas glantacháin ar siúl i Loch Ceann Gainimh an mhí seo.,claude-3-haiku-20240307
Ceann Gainimh,Rachaidh mé go Ceann Gainimh leis an teaghlach an samhradh seo.,claude-3-haiku-20240307
Scailp Oireamháin,Tá an-tóir ar thraidisiúin Gaeilge ag Scailp Oireamháin.,claude-3-haiku-20240307
Scailp an Chonáin,Bíonn oireachtas liteartha ar siúl i Scailp an Chonáin gach Samhradh.,claude-3-haiku-20240307
Scailp na mBallach,Tá sé ag druidim le féile thraidisiúnta Scailp na mBallach.,claude-3-haiku-20240307
Scailp an Chaonaigh,Beidh dráma Gaeilge á chur i láthair ag grúpa amaitéarach i Scailp an Chaonaigh i mbliana.,claude-3-haiku-20240307
Na Carraigeacha,Tá daoine ag fanacht in Na Carraigeacha i rith na scoilbhliana.,claude-3-haiku-20240307
An Scailp Fhada,Tá daoine ó gach cearn den tír ag teacht go hAn Scailp Fhada le blianta anuas.,claude-3-haiku-20240307
Scolboileán,Tabharfaidh mé cuairt ar Scolboileán leis na cairde an samhradh seo.,claude-3-haiku-20240307
Scailp an Loig,Bíonn daoine ag spaisteoireacht timpeall Scailp an Loig ag am lóin.,claude-3-haiku-20240307
Scríb,Chuaigh mé ag siúl thar oireachtas na Scríbe an lá cheana.,claude-3-haiku-20240307
Mullán an Róin,Cuireann na daoine áitiúla fáilte mhór roimh chuairteoirí go Mullán an Róin.,claude-3-haiku-20240307
Oileán na Cíbe,Tá oireachtas bliantúil ar siúl in Oileán na Cíbe i mí Lúnasa.,claude-3-haiku-20240307
Carraig na bhFaoileán,Bíonn na cuairteoirí agéisteacht le ceol traidisiúnta i gCarraig na bhFaoileán i rith na samhradh.,claude-3-haiku-20240307
Seanadh Chuilinn,Bíonn imeachtaí ceiliúrtha ar siúl i Seanadh Chuilinn gach samhradh.,claude-3-haiku-20240307
Seanbhaile Eochaire,Tá sé beartaithe go ndéanfar forbairt mhór ar Sheanbhaile Eochaire sna blianta amach romhainn.,claude-3-haiku-20240307
Loch Tana,Rachaidh mé ag iascaireacht ar Loch Tana amárach.,claude-3-haiku-20240307
Seanadh Mhaoilín,Tá an chéad oireachtas Gaeilge le blianta fada á reáchtáil i Seanadh Mhaoilín.,claude-3-haiku-20240307
Loch Seanadh Mhac,Bíonn daltaí na scoile ag snámh i Loch Seanadh Mhac gach Samhradh.,claude-3-haiku-20240307
Loch Sheanadh,Rachaidh mé ag iascaireacht ar Loch Sheanadh ag an deireadh seachtaine.,claude-3-haiku-20240307
Seanadh Sián,Déanann muintir Sheanadh Sián iarracht chun an teanga agus an oidhreacht áitiúil a chothú go rialta.,claude-3-haiku-20240307
Dónaill,Ceannaíonn muid earraí áitiúla ó mhargadh na nDónaill gach Satharn.,claude-3-haiku-20240307
Loch Chluain tSoipín,Tá an-tóir ar iascaireacht ar Loch Chluain tSoipín.,claude-3-haiku-20240307
An Sián,Chuaigh mé go dtí An Sián le déanaí chun siúl san aer thairis.,claude-3-haiku-20240307
Oileán Síon,Tá turas loinge eagraithe go hOileán Síon don samhradh seo.,claude-3-haiku-20240307
Seanadh Seangán,Tá sé beartaithe tuilleadh foirgneamh a thógáil i Seanadh Seangán an bhliain seo chugainn.,claude-3-haiku-20240307
Loch Sheanadh Bhéara,Tá gach sórt eachtraí ann i Loch Sheanadh Bhéara le linn an tsamhraidh.,claude-3-haiku-20240307
Droichead an Easa,Tá cuairteoirí ag teacht go Droichead an Easa chun na heasanna móra a fheiceáil.,claude-3-haiku-20240307
An Seanbhaile,Tugann muintir an Seanbhaile céad míle fáilte roimh chuairteoirí gach samhradh.,claude-3-haiku-20240307
Loch Sheanabháin,Beidh féile cheiliúrtha á reáchtáil i Loch Sheanabháin an samhradh seo.,claude-3-haiku-20240307
Lough,Bíonn sé ag iascaireacht i Lough gach deireadh seachtaine.,claude-3-haiku-20240307
Oiléan an Chnaipe,Tá mic léinn ollscoile ag staidéar ar stair Oiléan an Chnaipe.,claude-3-haiku-20240307
Seiscrigh,Tá daoine ag gluaiseacht go Seiscrigh i rith an tsamhraidh chun an aimsir bhreá a mhealladh.,claude-3-haiku-20240307
An Sindile,Tá muid ag tabhairt cuairt ar an Sindile gach bliain.,claude-3-haiku-20240307
Sliabh na bhFeannóg,Bíonn sluaite de thurasóirí ag spaisteoireacht ar Shliabh na bhFeannóg gach samhradh.,claude-3-haiku-20240307
Carraig na Loinge,Tá sé beartaithe go ndéanfar athchóiriú ar Chaisleán Carraig na Loinge an bhliain seo chugainn.,claude-3-haiku-20240307
Oileán Ceathach,Beidh roinnt eachtraí spóirt ar siúl in Oileán Ceathach an samhradh seo.,claude-3-haiku-20240307
Carraig Chaorach,Tá na caoirigh ag béicíl ar Charraig Chaorach.,claude-3-haiku-20240307
Loch Shliabh an,Bíonn an pobal ag ceiliúradh féile an dúchais in Loch Shliabh an gach Lá Fhéile Pádraig.,claude-3-haiku-20240307
Sligeach,Léirítear ceiliúradh na nualiostaí i Sligeach gach bliain.,claude-3-haiku-20240307
Aonaigh,Déanfar ceiliúradh mór ar Aonaigh an Fhómhair seo chugainn.,claude-3-haiku-20240307
Oileán na nAnam,Tugann turasóirí cuairt ar Oileán na nAnam gach bliain chun an dúlra álainn a fheiceáil.,claude-3-haiku-20240307
Oileán na Naosc,Tá siad ag déanamh taighde ar an gcultúr agus ar an stair i nOileán na Naosc.,claude-3-haiku-20240307
Spioróg,Téann cuid mhór daoine go Spioróg chun iascaireachta.,claude-3-haiku-20240307
Spíoc Ghort an Tobair,Tá mórán turasóirí ag taitneamh a bhaint as Spíoc Ghort an Tobair le blianta.,claude-3-haiku-20240307
Na Carraigeacha Beaga,Déantar feirmeoireacht ar scála beag ar Na Carraigeacha Beaga.,claude-3-haiku-20240307
An Sáilín,Cuireann muintir An Sáilín fáilte roimh na cuairteoirí gach Samhradh.,claude-3-haiku-20240307
Cloch an Traighlic,Tá sé ag cur feabhais ar chuid de na páirceanna in Cloch an Traighlic le déanaí.,claude-3-haiku-20240307
Sruthán,Beidh muid ag siúl ar an traille go Sruthán tráthnóna.,claude-3-haiku-20240307
Sraith Seabhac,Dúnfar an droichead i Sraith Seabhac ar feadh coicíse.,claude-3-haiku-20240307
Sruthán an Doire,Glantar na sráideanna i Sruthán an Doire gach maidin.,claude-3-haiku-20240307
Sruthán na mBreac,Scaoiltear braillíní breac as Sruthán na mBreac gach bliain.,claude-3-haiku-20240307
Sruthán an tSaighdiúra,Cuireadh droichead nua thar Shruthán an tSaighdiúra le déanaí.,claude-3-haiku-20240307
Céibh an tSrutháin,Beidh ceol traidisiúnta Gaelach le cloisteáil ag Céibh an tSrutháin i rith an fhéile.,claude-3-haiku-20240307
Sruthán an tSamhaidh,Tá sé ar intinn ag an gcumann áitiúil rás beag a reáchtáil ar Shruthán an tSamhaidh an samhradh seo.,claude-3-haiku-20240307
Sruthán an Tuairín,Téann na turasóirí chuig Sruthán an Tuairín chun an nádúr a mhealladh.,claude-3-haiku-20240307
An Sruthán,Cuireann muintir An Sruthán fáilte roimh cuairteoirí gach Samhradh.,claude-3-haiku-20240307
Sruthán na Teorann,Bhí mé ag siúl go minic i Sruthán na Teorann le linn an samhraidh.,claude-3-haiku-20240307
Sruthán an tSionnaigh,Buaileann turasóirí go minic Sruthán an tSionnaigh le blaiseadh a fháil de shaol na tuaithe.,claude-3-haiku-20240307
Sruthán an,Caitheann na daoine áitiúla a saoire samhraidh i Sruthán an Dúna.,claude-3-haiku-20240307
Chaim,Déanann na cónaitheoirí siúlóidí fada timpeall Chaim gach lá.,claude-3-haiku-20240307
Bheannaithe,Beidh féile ceoil ar siúl i mBheannaithe an Samhradh seo chugainn.,claude-3-haiku-20240307
An Sruthán Beag,Rachaidh mé go dtí An Sruthán Beag le mo chairde chun sosa a thógáil.,claude-3-haiku-20240307
An Sruthán Buí,Tá an t-uisce glan in An Sruthán Buí i rith na bliana.,claude-3-haiku-20240307
Sruthán Doire na,Tá siad ag dul go Sruthán Doire na gCuach le haghaidh laethanta saoire.,claude-3-haiku-20240307
Sruthán Bhóthar an,Cuirtear taispeántais ealaíne ar siúl i Sruthán Bhóthar an gach bliain.,claude-3-haiku-20240307
An Sruthán Cam,Déanann muid picnic i bpáirc álainn An Sruthán Cam gach Domhnach.,claude-3-haiku-20240307
Sruthán Chuilinneach,Bíonn an teaghlach ag siúl ar Shruthán Chuilinneach go minic.,claude-3-haiku-20240307
tSléibhe,Beidh féile chultúrtha ar siúl ar tSléibhe an samhradh seo.,claude-3-haiku-20240307
An Sruthán Buí,Bíonn an baile go hálainn ag An Sruthán Buí ar maidin.,claude-3-haiku-20240307
An Sruthán Buí,Foilsítear leabhair áitiúla faoi stair an cheantair in An Sruthán Buí go rialta.,claude-3-haiku-20240307
Coinne,Rachfaidh mé go Coinne an tseachtain seo chugainn.,claude-3-haiku-20240307
Fhraochóg,Reachtáiltear ceardlanna Gaeilge sa Fhraochóg gach samhradh.,claude-3-haiku-20240307
Tafainn,Cónaíonn daoine le cáil i dTafainn.,claude-3-haiku-20240307
Dónaill,Gabhann na scoláirí turas chun Dónaill gach bliain.,claude-3-haiku-20240307
Sruthán Sheanadh,Caitheann daoine óga an-chuid ama ag sníomh ag Sruthán Sheanadh.,claude-3-haiku-20240307
Sruthán Ghleann,Cuireann muintir Shruthán Ghleann turas treoraithe ar fáil do chuairteoirí gach Satharn.,claude-3-haiku-20240307
An Sruthán Dubh,Bíonn siad ag siúl ar feadh Shruthán Dubh ag deireadh seachtaine.,claude-3-haiku-20240307
Sruthán Lochán na,Beidh ceolchoirm speisialta ar siúl i Sruthán Lochán na an chéad oíche Shathairn eile.,claude-3-haiku-20240307
An Sruthán Glas,Tá teach saoire álainn ag imeall An Sruthán Glas.,claude-3-haiku-20240307
Sruthán Log an,Tá sráid nua tógtha i Sruthán Log an le déanaí.,claude-3-haiku-20240307
bhFiach,Téann an méid is mó turasóirí go bhFiach le linn na samhna.,claude-3-haiku-20240307
bhFonsaí,Téann sé ag snámh sa bhFonsaí gach lá.,claude-3-haiku-20240307
bhFonsaí,Caithfidh muid rud éigin a dhéanamh le cabhrú le muintir an bhFonsaí.,claude-3-haiku-20240307
tSamhraidh,Tugtar cuairteoirí go hOileán tSamhraidh gach samhradh.,claude-3-haiku-20240307
Sruthán na gCloch,Bhain muid sár-thaitneamh as Sruthán na gCloch le linn ár gcuairte.,claude-3-haiku-20240307
Sruthán Mhám Dearg,Caithfidh muid cuairt a thabhairt ar Shruthán Mhám Dearg an samhradh seo.,claude-3-haiku-20240307
Geal,Bíonn turas traidisiúnta ar siúl go Geal gach Lá Fhéile Pádraig.,claude-3-haiku-20240307
Deamhnaí,Caitheann na turasóirí a gcuid ama saoire i Deamhnaí.,claude-3-haiku-20240307
Sruthán na bhFonsaí,Bainfidh muid taitneamh as an tsíocháin agus an ciúnas i Sruthán na bhFonsaí.,claude-3-haiku-20240307
Beaga,Oireann an t-aeráid go maith do Bheaga.,claude-3-haiku-20240307
Sruthán na Teorann,Chuaigh muid ag siúl ar bhruacha Shruthán na Teorann tráth.,claude-3-haiku-20240307
Sruthán na Tornóige,Gníomhaíonn siad go dian ar Shruthán na Tornóige le cosc a chur ar an truailliú.,claude-3-haiku-20240307
Sruthán Oscailte,Bíonn an t-uisce glan agus soineanta i Sruthán Oscailte.,claude-3-haiku-20240307
Sruthán an Phoill,Tá siad ag iascaireacht i Sruthán an Phoill le déanaí.,claude-3-haiku-20240307
Sruthán an Phollaigh,Imríonn daoine cluichí traidisiúnta ar Shruthán an Phollaigh ag an bhféile bhliantúil.,claude-3-haiku-20240307
Sruthán na Teorann,Rachaidh mé go Sruthán na Teorann le mo chairde amárach.,claude-3-haiku-20240307
an tSamhraidh,Beidh ceiliúradh mór ar siúl in an tSamhraidh an bhliain seo chugainn.,claude-3-haiku-20240307
Sruthán Scailp na,Buailimid le chéile go minic ag Sruthán Scailp na.,claude-3-haiku-20240307
Sruthán Seanadh,Bíonn an Sruthán Seanadh ag rith go leanúnach le linn an tsamhraidh.,claude-3-haiku-20240307
gColm,Cuireadh feabhas ar áiseanna caitheamh aimsire i gColm le déanaí.,claude-3-haiku-20240307
Daibhche,Tá imeachtaí cultúrtha ar siúl i nDaibhche gach deireadh seachtaine.,claude-3-haiku-20240307
Sruthán Rolardaí Mór,Oireann an t-ola do chuid éisc i Sruthán Rolardaí Mór.,claude-3-haiku-20240307
Loch Shruthán na,Tá siúlóidí iontacha le déanamh timpeall Loch Shruthán na.,claude-3-haiku-20240307
Sruthán Sraith na mBó,Rachaidh mé ag spaisteoireacht ar bhruacha Shruthán Sraith na mBó amárach.,claude-3-haiku-20240307
Chnoic,Caitheann muid go leor ama ag siúl timpeall Chnoic.,claude-3-haiku-20240307
Leaba Bhreacáin,Tá daoine ag campáil ag Leaba Bhreacáin le linn an tsamhraidh.,claude-3-haiku-20240307
Sruthán Mhaírois,Bíonn turais gheoimeolaíochta eagraithe i Sruthán Mhaírois ag deireadh an tsamhraidh.,claude-3-haiku-20240307
Sruthán na gConaolach,Bíonn damhsaí traidisiúnta ag Sruthán na gConaolach le linn na Nollag.,claude-3-haiku-20240307
Sruthán Tóin an,Beidh an t-uisce glan agus an tsíocháin i Sruthán Tóin an an samhradh seo.,claude-3-haiku-20240307
Well,Bíonn cuairteoirí ag teacht go dtí An Tobar gach samhradh.,claude-3-haiku-20240307
Leaba Chaomháin,Tá ceol traidisiúnta á sheinm gach oíche i Leaba Chaomháin.,claude-3-haiku-20240307
Clogás Éinne,Bíonn fáilte romhat i gcónaí i gClogás Éinne.,claude-3-haiku-20240307
Altóir Cholm Cille,Tógfar séipéal nua i gCaisleán Aircín i mbliana.,claude-3-haiku-20240307
Tobar Cholm Cille,Oireann Tobar Cholm Cille go maith do dhaoine a bhfuil suim acu i ngrá-shúpla.,claude-3-haiku-20240307
Leaba Éinne,Beidh Leaba Éinne ina láthair oiriúnach le campáil ar feadh an tsamhraidh.,claude-3-haiku-20240307
Tobar Naomh Ciprian,Cuirtear na héin san Tobar Naomh Ciprian i rith an earraigh.,claude-3-haiku-20240307
Reilig Mhaírois,Eagraíonn an pobal imeachtaí cultúrtha in Reilig Mhaírois gach samhradh.,claude-3-haiku-20240307
Tobar Bhréanainn,Oileánaigh as Tobar Bhréanainn a thagann chun na n-imeachtaí seo gach bliain.,claude-3-haiku-20240307
Tobar Chiaráin,Bíonn go leor daoine ag ól uisce ó Thobar Chiaráin i rith an tsamhraidh.,claude-3-haiku-20240307
Tower,Tá pobal an Tabhair ag pleanáil féile chultúrtha don samhradh seo.,claude-3-haiku-20240307
Dabhach Éinne,Rachaidh mé ag iascaireacht i nDabhach Éinne an deireadh seachtaine seo.,claude-3-haiku-20240307
Tobar Caoláin,Bíonn ceolchoirmeacha traidisiúnta á reáchtáil i dTobar Caoláin gach Samhradh.,claude-3-haiku-20240307
Cill Chiaráin,Rachaimid go Cill Chiaráin ar saoire an samhradh seo.,claude-3-haiku-20240307
Leaba Phádraig,Tá an seandálaí ag déanamh taighde ar Leaba Phádraig le roinnt míonna anuas.,claude-3-haiku-20240307
Cill Ghobnait,Cuireann muintir Chille Ghobnait fáilte roimh chuairteoirí ó gach áit.,claude-3-haiku-20240307
Tobar Phádraig,Cuireadh leathadh ar an bhfoinse uisce i dTobar Phádraig le deireanas.,claude-3-haiku-20240307
Tobar Phádraig,Cuireadh feabhas mór ar Thobar Phádraig le deich mbliana anuas.,claude-3-haiku-20240307
Leaba Asurnaí,Téimid go Leaba Asurnaí ar laethanta saoire chun suaimhneas a fháil.,claude-3-haiku-20240307
Sceach Asurnaí,Tá dath álainn na sceach le feiceáil i Sceach Asurnaí gach earrach.,claude-3-haiku-20240307
Tobar Asurnaí,Tá daoine ag tarrtháil ainmhithe fiáine in Tobar Asurnaí.,claude-3-haiku-20240307
Oileán na Stile,Gheofar réamh-mheas ar an aimsir in Oileán na Stile gach maidin.,claude-3-haiku-20240307
Mullán an Bhealaigh,Bíonn drámaíocht ar siúl i Mullán an Bhealaigh ag an bhféile bhliantúil.,claude-3-haiku-20240307
Tobar Tomás,Beidh an Oireachtas ag teacht go Tobar Tomás an bhliain seo chugainn.,claude-3-haiku-20240307
Sraithíní,Bíonn ceolchoirmeacha traidisiúnta á n-eagrú i Sraithíní gach mí.,claude-3-haiku-20240307
Loch na Stileach,Téann cuid mhór turasóirí go Loch na Stileach le linn an tsamhraidh.,claude-3-haiku-20240307
Baile na Cille,Beidh cuirm cheoil mhór ar siúl i mBaile na Cille i mí Lúnasa.,claude-3-haiku-20240307
Illaunatee,Tógtar aonaid tithíochta nua in Illaunatee anois.,claude-3-haiku-20240307
Oileán na bhFáinleog,Tugann cuid mhór daoine cuairt ar Oileán na bhFáinleog le breathnú ar an bhféileacán.,claude-3-haiku-20240307
Coirnéal an Phráca,Tabharfaidh muid cuairt ar Choirnéal an Phráca an samhradh seo chugainn.,claude-3-haiku-20240307
Oileán na Tuí,Caitheann na turasóirí a gcuid ama ag spaisteoireacht timpeall Oileán na Tuí.,claude-3-haiku-20240307
Baile na mBrobhach,Tógtar foirgnimh nua sa Bhaile na mBrobhach gach bliain.,claude-3-haiku-20240307
Loch na Tamhnaí,Tá suim ag daoine i Loch na Tamhnaí mar shuíomh turasóireachta.,claude-3-haiku-20240307
Droichead Thír na,Céimníonn an pobal áitiúil féilte traidisiúnta a reáchtáil i nDroichead Thír na gach bliain.,claude-3-haiku-20240307
Airde,Oireann Airde go hiontach do lucht na hiascaireachta.,claude-3-haiku-20240307
An Ceann Ramhar,Rachaidh mé ag spaisteoireacht thart ar An Ceann Ramhar ar an Domhnach.,claude-3-haiku-20240307
Tamhnach Luachra,Bíonn na turasóirí ag féachaint ar na caora ar Thamhnach Luachra le linn a gcuairte.,claude-3-haiku-20240307
Dhonncha,Beidh muid ag cabhrú le feirmeoireacht orgánach a chur chun cinn i nDhonncha.,claude-3-haiku-20240307
Cille,Tugann na cailíní ó Chill ceol traidisiúnta ar an ócáid speisialta seo.,claude-3-haiku-20240307
Tamhnach Bhaile,Soláthraíonn an grúpa pobail gníomhaíochtaí éagsúla i dTamhnach Bhaile.,claude-3-haiku-20240307
Teampall Bheanáin,Tá an eaglais álainn i dTeampall Bheanáin fós ina seasamh go bródúil.,claude-3-haiku-20240307
Teampall an,Bíonn roinnt daoine ag rith timpeall Teampall an gach lá.,claude-3-haiku-20240307
Teampall an Phoill,Tá siad ag obair chun feabhas a chur ar Theampall an Phoill.,claude-3-haiku-20240307
Teampall na mBráithre,Bíonn ceiliúradh cultúrtha ar siúl gach Luan i dTeampall na mBráithre.,claude-3-haiku-20240307
Teampall na Naomh,Ceilíonn pobal áitiúil Teampall na Naomh i rith an Chéad Dómhnaigh den Charghas.,claude-3-haiku-20240307
Teampall Inis Mac,Eagrófar ceolchoirm speisialta i dTeampall Inis Mac an samhradh seo.,claude-3-haiku-20240307
An Teampall Beag,Cuirtear ceiliúradh iontach ar siúl in An Teampall Beag gach Nollaig.,claude-3-haiku-20240307
Caisleán Thír Oileáin,Tá sé beartaithe eastáit nua tithíochta a thógáil i gCaisleán Thír Oileáin.,claude-3-haiku-20240307
Teampall Asurnaí,Tá sé i gceist freastal ar an searmanas reiligiúnach i dTeampall Asurnaí amárach.,claude-3-haiku-20240307
Beanna Beola,Bíonn roinnt de na sluaite is mó in Éirinn ar cuairt in Beanna Beola i rith an tsamhraidh.,claude-3-haiku-20240307
An Caladh,Rachaidh mé go dtí An Caladh chun bád a ghlacadh go Oileán na Sceach.,claude-3-haiku-20240307
Teampall Mhuire,Bíonn imeachtaí cultúrtha rialta ar siúl i dTeampall Mhuire.,claude-3-haiku-20240307
An Lag,Téann na scoláirí go dtí An Lag gach Aoine chun an Ghaeilge a chleachtadh.,claude-3-haiku-20240307
An Taobh Garbh,Rachaidh mé go minic go dtí An Taobh Garbh le haghaidh siúlóidí.,claude-3-haiku-20240307
Teaghlach Éinne,Téann an teaghlach go Teaghlach Éinne gach Nollaig.,claude-3-haiku-20240307
Taobh na Gairbhe,Rachaidh mé ag snámh i Loch Taobh na Gairbhe ar an laethanta saoire.,claude-3-haiku-20240307
An tUlán Liath,Beidh an chéad aonach eile ar siúl in An tUlán Liath an mhí seo chugainn.,claude-3-haiku-20240307
Tobar Éinne,Tá sé i gceist acu pióg a thógáil ó Thobar Éinne an samhradh seo.,claude-3-haiku-20240307
Tobar Bréanainn,Tógtar an ceann is fearr den chré-umha i dTobar Bréanainn.,claude-3-haiku-20240307
Tobar Feichín,Tá an tobar in Tobar Feichín an-cháiliúil.,claude-3-haiku-20240307
Tobar Phádraig,Tá daoine ag teacht ó gach cearn den tír chun Tobar Phádraig a fheiceáil.,claude-3-haiku-20240307
Tobar an Spioraid,Bíonn ceolchoirmeacha ann ag Tobar an Spioraid i rith an tsamhraidh.,claude-3-haiku-20240307
Tobar Bhreacáin,Leanfaidh an baile i dTobar Bhreacáin ag forbairt mar lárionad turasóireachta.,claude-3-haiku-20240307
Naoimh,Tá sé beartaithe teach altranais a oscailt i Naoimh an bhliain seo chugainn.,claude-3-haiku-20240307
Tobar an Droichid,Bainfidh mé sult as an tsíocháin agus an t-áineasa i dTobar an Droichid.,claude-3-haiku-20240307
Tobar Breacáin,Bíonn an-tóir ag daoine ar an Tobar Breacáin le linn na Cásca.,claude-3-haiku-20240307
Tobar Muirí,Bíonn cuairteoirí ag teacht go Tobar Muirí le haghaidh uisce sláintiúil.,claude-3-haiku-20240307
Tobar Éinne,Cuirfear craobh nua GAA ar bun i dTobar Éinne an bhliain seo chugainn.,claude-3-haiku-20240307
Well,Glantar sráideanna an Bhaile gach maidin.,claude-3-haiku-20240307
Tobar Éinne,Bíonn ceol traidisiúnta le cloisteáil i dTobar Éinne gach Satharn oíche.,claude-3-haiku-20240307
Tobar Feichín,Bíonn daoine ag teacht ó cheann ceann na tíre chun uisce Tobar Feichín a ól.,claude-3-haiku-20240307
Tobar Cheanainn,Beidh an buíon traidisiúnta ag seinm ceoil traidisiúnta ag Tobar Cheanainn an tseachtain seo.,claude-3-haiku-20240307
Tobar Feichín,Tá an tobar uisce i dTobar Feichín an-cháiliúil sa cheantar.,claude-3-haiku-20240307
Tobar Chinndeirge,Tógfar ionad spóirt nua ag Tobar Chinndeirge an bhliain seo chugainn.,claude-3-haiku-20240307
Tobar Cholm Cille,Bíonn roinnt daoine ag damhsa agus ag ceol i dTobar Cholm Cille ag am na Féile Bealtaine.,claude-3-haiku-20240307
Tobar Mhic Duach,Tá tobar uisce saoire i dTobar Mhic Duach.,claude-3-haiku-20240307
Sruthán Tobar Odhráin,Bíonn siad ag siúl ar feadh na sráidbhailte in aice le Sruthán Tobar Odhráin gach lá.,claude-3-haiku-20240307
Tobar na Naomh,Tá naomhóga ag dul ó Thobar na Naomh gach lá.,claude-3-haiku-20240307
Tobar Chiaráin,Tá sé beartaithe ionad sláinte nua a oscailt i dTobar Chiaráin an bhliain seo chugainn.,claude-3-haiku-20240307
Tobar na Seacht nIníon,Tarraingíonn Tobar na Seacht nIníon go leor cuairteoirí chuig an limistéar.,claude-3-haiku-20240307
Tobar Odhráin,Leanann daoine ag teacht go Tobar Odhráin chun uisce a bhaint.,claude-3-haiku-20240307
An Tamhnach Mhór,Bíonn na turasóirí ag siúl ar fud An Tamhnach Mhóir le linn na samhraí.,claude-3-haiku-20240307
Tobar Rónáin,Cuireann sluaite cuairteoirí lá iontach atá ag Tobar Rónáin i rith an tsamhraidh.,claude-3-haiku-20240307
Tobar Síonach,Tá toibreacha beaga le fáil i dTobar Síonach.,claude-3-haiku-20240307
Tóin na hAirde,Déanfaidh mé obair dheonach i dTóin na hAirde sa samhradh.,claude-3-haiku-20240307
An Gramar,Bíonn an scoil náisiúnta i nGramar an-ghnóthach i rith na bliana.,claude-3-haiku-20240307
Well,Bíonn daoine ag siopadóireacht i nGleann an Tobair gach Satharn.,claude-3-haiku-20240307
Tóin an tSléibhe,Tá an t-ionad spóirt nua i dTóin an tSléibhe an-rathúil.,claude-3-haiku-20240307
Tóin an Ghleanna,Tá an t-airgeadra á bhailiú ag muintir Tóin an Ghleanna do thionscadal pobail.,claude-3-haiku-20240307
Tóin na Lí,Cónaíonn mé i dTóin na Lí le roinnt blianta anuas.,claude-3-haiku-20240307
Tóin na Mine,Cuireann muintir Tóin na Mine fáilte mhór roimh gach cuairteoir.,claude-3-haiku-20240307
Carraig Mhór an,Tógfar ionad cultúrtha nua i gCarraig Mhór an an bhliain seo chugainn.,claude-3-haiku-20240307
Tóin an Ghramair,Bíonn an chéad scoth ceoil ar siúl i dTóin an Ghramair ar an Lá Fhéile Pádraig.,claude-3-haiku-20240307
